date,n_stocks,mkt_ret,limit_up_count,touched_count,max_board_height,blow_count,blow_rate,lu_premium_1d,lu_cont_n,limit_up_count_ma5
2026-03-06,4914,0.01588638464293097,68,97,3,29,0.29896907216494845,0.0026414357993722257,61,65.0
2026-03-09,4919,-0.0073662575349669095,40,79,4,39,0.4936708860759494,0.020813369449648112,68,55.6
2026-03-10,4917,0.01805430921824841,53,78,5,25,0.32051282051282054,0.016178173795947402,40,51.8
2026-03-11,4919,-0.0006796423542748814,49,75,4,26,0.3466666666666667,0.02667429489835285,53,54.2
2026-03-12,4919,-0.007092482299375734,47,72,4,25,0.3472222222222222,0.02584166043101725,49,51.4
2026-03-13,4919,-0.0090169175784765,53,78,5,25,0.32051282051282054,0.01150040094175078,47,48.4
2026-03-16,4920,0.0011318692993401494,40,62,3,22,0.3548387096774194,-0.023364886759877825,53,48.4
2026-03-17,4919,-0.019266560617824217,32,48,4,16,0.3333333333333333,0.03160127554762195,40,44.2
2026-03-18,4919,0.010884112395983135,50,72,3,22,0.3055555555555556,-0.006848802419561326,32,44.4
2026-03-19,4919,-0.023764689964676455,27,42,4,15,0.35714285714285715,0.036806060085889554,50,40.4
2026-03-20,4919,-0.022858477573781476,27,54,5,27,0.5,0.02813304598123714,27,35.2
2026-03-23,4921,-0.05152919353157094,25,46,6,21,0.45652173913043476,0.03964390244532589,27,32.2
2026-03-24,4918,0.03445228034978801,79,105,7,26,0.24761904761904763,-0.0009562910243915701,25,41.6
2026-03-25,4918,0.019837837388570628,80,101,8,21,0.2079207920792079,0.028214373997302904,79,47.6
2026-03-26,4917,-0.014572791896010009,36,60,3,24,0.4,0.01922979913445736,79,49.4
2026-03-27,4914,0.01464161053279414,74,96,4,22,0.22916666666666666,0.002248896864808338,35,58.8
2026-03-30,4913,0.003348029843687102,60,79,5,19,0.24050632911392406,0.014199568501352608,74,65.8
2026-03-31,4914,-0.014759887836107294,49,68,4,19,0.27941176470588236,0.023541404597925582,59,59.8
2026-04-01,4915,0.017064742959740028,51,95,4,44,0.4631578947368421,-0.026989288622337813,49,54.0
2026-04-02,4915,-0.015958144886878304,26,47,5,21,0.44680851063829785,0.019356000691218837,51,52.0
